Identyfikator zbioru danych;Organ zgłaszający;TERYT;Usługa pobierania;01.01.1900
PL.PZGiK.247;Starosta Powiatu Leskiego;1821;https://lesko.geoportal2.pl/map/geoportal/wfs.php;01.01.1900
PL.PZGiK.248;Starosta Głogowski;0203;https://glogow.geoportal2.pl/map/geoportal/wfs.php;01.01.1900
PL.PZGiK.249;Prezydent Miasta Skierniewice;1063;https://skierniewice.geoportal2.pl/map/geoportal/wfs.php;01.01.1900
PL.PZGiK.250;Starosta Powiatu Opoczyńskiego;1007;https://opoczno.geoportal2.pl/map/geoportal/wfs.php;01.01.1900
PL.PZGiK.251;Starosta Dzierżoniowski;0202;https://geoportal.pow.dzierzoniow.pl/ggp;01.01.1900
PL.PZGiK.252;Starosta Złotowski;3031;https://ikerg.zlotow-powiat.pl/zlotow-egib;01.01.1900
PL.PZGiK.253;Starosta Powiatu Nowodworskiego;2210;https://nowodworski.webewid.pl:4444/iip/ows;01.01.1900
PL.PZGiK.254;Starosta Wodzisławski;2415;https://imapa.powiatwodzislawski.pl/wodzislaw-egib;01.01.1900
PL.PZGiK.255;Starosta Powiatu Sejneńskiego;2009;https://sejny.geoportal2.pl/map/geoportal/wfs.php;01.01.1900
PL.PZGiK.256;Prezydent Miasta Siedlce;1464;https://siedlce.geoportal2.pl/map/geoportal/wfse.php;01.01.1900
PL.PZGiK.257;Starosta Pułtuski;1424;https://powiatpultuski.geoportal2.pl/map/geoportal/wfs.php;01.01.1900
PL.PZGiK.258;Starosta Radomski;1425;https://radom.geoportal2.pl/map/geoportal/wfse.php;01.01.1900
PL.PZGiK.259;Starosta Powiatu Kępińskiego;3008;https://ikerg.powiatkepno.pl/kepno-egib;01.01.1900
PL.PZGiK.260;Starosta Wągrowiecki;3028;https://ikerg.wagrowiec.pl/wagrowiec-egib;01.01.1900
PL.PZGiK.261;Starosta Piski;2816;https://powiatpiski.geoportal2.pl/map/geoportal/wfs.php;01.01.1900
PL.PZGiK.262;Starosta Kłodzki;0208;https://geoportal.powiat.klodzko.pl/ggp;01.01.1900
PL.PZGiK.263;Starosta Myśliborski;3210;https://wms.powiatmysliborski.com.pl/mysliborz-egib;01.01.1900
PL.PZGiK.264;Starosta Lubiński;0211;https://lubinski-wms.webewid.pl/iip/ows;01.01.1900
PL.PZGiK.265;Starosta Jaworski;0205;https://jawor.geoportal2.pl/map/geoportal/wfs.php;01.01.1900
PL.PZGiK.266;Starosta Ostrowski;1416;https://ostrowmaz.geoportal2.pl/map/geoportal/wfs.php;01.01.1900
PL.PZGiK.267;Prezydent Miasta Sopot;2264;https://wms.um.sopot.pl/iip/ows;01.01.1900
PL.PZGiK.268;Starosta Obornicki;3016;https://ikerg.powiatobornicki.pl/cgi-bin/oborniki-egib;01.01.1900
PL.PZGiK.269;Starosta Gostyński;3004;https://imapa.powiat.gostyn.pl/gostyn-egib;01.01.1900
PL.PZGiK.270;Starosta Powiatu Gorlickiego;1205;https://gorlicki.webewid.pl:4443/iip/ows;01.01.1900
PL.PZGiK.271;Starosta Powiatu Oleśnickiego;0214;https://olesnicki.webewid.pl:4444/iip/ows;01.01.1900
PL.PZGiK.272;Starosta Wejherowski;2215;https://wms.epodgik.pl/cgi-bin/wejherowo;01.01.1900
PL.PZGiK.273;Starosta Policki;3211;https://wgkik.policki.pl/police-egib;01.01.1900
PL.PZGiK.274;Starosta Kraśnicki;0607;https://krasnicki-wms.webewid.pl/iip/ows;01.01.1900
PL.PZGiK.275;Starosta Świdwiński;3216;https://swidwinski-wms.webewid.pl/iip/ows;01.01.1900
PL.PZGiK.276;Starosta Lipski;1409;https://powiatlipsko.geoportal2.pl/map/geoportal/wfs.php;01.01.1900
PL.PZGiK.277;Starosta Ząbkowicki;0224;https://zabkowicki.webewid.pl:444/iip/ows;01.01.1900
PL.PZGiK.278;Prezydent Miasta Mysłowice;2470;https://wms.myslowice.pl/myslowice-egib;01.01.1900
PL.PZGiK.279;Starosta Powiatu Gryfińskiego;3206;https://gryfinski.webewid.pl:4439/iip/ows;01.01.1900
PL.PZGiK.280;Prezydent Miasta Częstochowy;2464;https://geoportal.czestochowa.pl/wfs2464_egib/Service.svc/get;01.01.1900
PL.PZGiK.281;Starosta Makowski;1411;https://makow.geoportal2.pl/map/geoportal/wfs.php;01.01.1900
